№,Seconds,Milliseconds
1,46,131253
2,46,150408
3,46,165493
4,46,180700
5,46,196687
6,46,212045
7,46,227877
8,46,243956
9,46,259287
10,46,275380
11,46,290769
12,46,306029
13,46,321357
14,46,336588
15,46,352433
16,46,368587
17,46,384002
18,46,399465
19,46,415526
20,46,430999
21,46,446158
22,46,461446
23,46,477394
24,46,493149
25,46,508979
26,46,524375
27,46,539970
28,46,555401
29,46,570634
30,46,585810
31,46,601322
32,46,617438
33,46,632741
34,46,648865
35,46,663991
36,46,679837
37,46,695185
38,46,711041
39,46,726487
40,46,741765
41,46,757259
42,46,773401
43,46,789258
44,46,804593
45,46,820043
46,46,835739
47,46,851469
48,46,867389
49,46,882429
50,46,898425
51,46,913777
52,46,929125
53,46,945216
54,46,960361
55,46,976371
56,46,992417
57,47,8362
58,47,24072
59,47,39211
60,47,55208
61,47,70490
62,47,86648
63,47,102493
64,47,118512
65,47,134185
66,47,150129
67,47,165651
68,47,181670
69,47,197621
70,47,213571
71,47,229511
72,47,245457
73,47,261618
74,47,277698
75,47,293589
76,47,308763
77,47,323989
78,47,339460
79,47,354805
80,47,369948
81,47,386033
82,47,401382
83,47,417564
84,47,432788
85,47,448149
86,47,463042
87,47,478636
88,47,493898
89,47,509269
90,47,524868
91,47,540226
92,47,555360
93,47,570781
94,47,586077
95,47,601426
96,47,617581
97,47,634100
98,47,648233
99,47,664289
100,47,680231
101,47,696176
102,47,712576
103,47,728525
104,47,744472
105,47,759651
106,47,775404
107,47,791352
108,47,806667
109,47,822357
110,47,838366
111,47,854393
112,47,869865
113,47,885812
114,47,900760
115,47,915793
116,47,931659
117,47,946684
118,47,962100
119,47,978121
120,47,993778
121,48,9524
122,48,25455
123,48,40767
124,48,56475
125,48,71477
126,48,86932
127,48,102835
128,48,118896
129,48,134108
130,48,150055
131,48,165209
132,48,181150
133,48,197298
134,48,213064
135,48,228603
136,48,243763
137,48,259852
138,48,275074
139,48,291086
140,48,306368
141,48,321898
142,48,337130
143,48,353364
144,48,368854
145,48,384971
146,48,400597
147,48,415905
148,48,431111
149,48,447240
150,48,463237
151,48,479414
152,48,494625
153,48,509829
154,48,525871
155,48,541843
156,48,556979
157,48,572519
158,48,587555
159,48,603479
160,48,618836
161,48,634031
162,48,650135
163,48,666256
164,48,681397
165,48,697593
166,48,713572
167,48,728696
168,48,744092
169,48,759579
170,48,775683
171,48,791020
172,48,806754
173,48,822488
174,48,838612
175,48,853946
176,48,869488
177,48,884723
178,48,900088
179,48,915380
180,48,930773
181,48,946016
182,48,961198
183,48,976523
184,48,992478
185,49,7624
186,49,23131
187,49,38410
188,49,53745
189,49,69562
190,49,85389
191,49,101387
192,49,117413
193,49,132828
194,49,149324
195,49,165352
196,49,181221
197,49,197205
198,49,213154
199,49,229095
200,49,244605
201,49,260690
202,49,276307
203,49,291953
204,49,307621
205,49,323577
206,49,338822
207,49,354489
208,49,369663
209,49,384819
210,49,400421
211,49,416486
212,49,431936
213,49,447168
214,49,462333
215,49,477566
216,49,493758
217,49,509671
218,49,524884
219,49,540146
220,49,555411
221,49,570951
222,49,586757
223,49,602798
224,49,617950
225,49,633097
226,49,649327
227,49,665032
228,49,681092
229,49,697200
230,49,713035
231,49,728557
232,49,743807
233,49,759072
234,49,774999
235,49,790413
236,49,805643
237,49,820851
238,49,836730
239,49,852310
240,49,867786
241,49,883314
242,49,899237
243,49,915375
244,49,930757
245,49,946572
246,49,962455
247,49,978097
248,49,993360
249,50,9232
250,50,24610
251,50,40105
252,50,55092
253,50,71191
254,50,86528
255,50,102603
256,50,118186
257,50,134273
258,50,150291
259,50,165690
260,50,181507
261,50,197468
262,50,213418
263,50,229368
264,50,245235
265,50,260964
266,50,276214
267,50,291466
268,50,307589
269,50,323133
270,50,338225
271,50,353986
272,50,369260
273,50,385185
274,50,400836
275,50,416810
276,50,432078
277,50,447180
278,50,462344
279,50,477475
280,50,492965
281,50,508325
282,50,524404
283,50,540460
284,50,556509
285,50,571653
286,50,587561
287,50,602710
288,50,618306
289,50,634506
290,50,649987
291,50,665918
292,50,681741
293,50,697022
294,50,712213
295,50,727639
296,50,743895
297,50,759034
298,50,774353
299,50,790235
300,50,805593
