№,Секунда ,Микросекунда
1,19,744911
2,19,755097
3,19,770328
4,19,785707
5,19,801849
6,19,817196
7,19,832741
8,19,848854
9,19,863952
10,19,879394
11,19,895599
12,19,911467
13,19,927085
14,19,942056
15,19,957807
16,19,973833
17,19,989176
18,20,4631
19,20,20321
20,20,36185
21,20,51985
22,20,67495
23,20,82949
24,20,99029
25,20,114188
26,20,129435
27,20,144672
28,20,160629
29,20,176413
30,20,191982
31,20,207469
32,20,223463
33,20,238688
34,20,253889
35,20,269677
36,20,285816
37,20,301285
38,20,316298
39,20,331686
40,20,347695
41,20,363475
42,20,379548
43,20,395622
44,20,410749
45,20,426239
46,20,441763
47,20,456718
48,20,472226
49,20,487590
50,20,502992
51,20,519111
52,20,535101
53,20,550383
54,20,565569
55,20,580749
56,20,596059
57,20,611294
58,20,626616
59,20,642410
60,20,657626
61,20,673002
62,20,688623
63,20,703945
64,20,719512
65,20,734973
66,20,750252
67,20,766300
68,20,782007
69,20,798078
70,20,813620
71,20,828746
72,20,844163
73,20,860134
74,20,876124
75,20,891621
76,20,907146
77,20,923116
78,20,939310
79,20,955368
80,20,970559
81,20,985983
82,21,1287
83,21,17089
84,21,33093
85,21,48772
86,21,64425
87,21,80632
88,21,95720
89,21,111086
90,21,126233
91,21,141425
92,21,157518
93,21,173672
94,21,189585
95,21,205471
96,21,221489
97,21,236780
98,21,252019
99,21,267689
100,21,282786
101,21,298132
102,21,313555
103,21,328805
104,21,343974
105,21,358969
106,21,374203
107,21,389704
108,21,405101
109,21,420415
110,21,435778
111,21,451261
112,21,467187
113,21,482544
114,21,497929
115,21,513139
116,21,528270
117,21,543567
118,21,558774
119,21,574414
120,21,589568
121,21,605265
122,21,620509
123,21,635676
124,21,651421
125,21,666792
126,21,682272
127,21,697494
128,21,712859
129,21,728303
130,21,743795
131,21,759095
132,21,774341
133,21,789631
134,21,805712
135,21,820832
136,21,836280
137,21,851455
138,21,866931
139,21,882081
140,21,897719
141,21,913041
142,21,928946
143,21,944506
144,21,960272
145,21,975604
146,21,991302
147,22,7193
148,22,22635
149,22,37862
150,22,53325
151,22,69487
152,22,83961
153,22,99613
154,22,115021
155,22,130242
156,22,145685
157,22,160835
158,22,176055
159,22,191408
160,22,206627
161,22,221890
162,22,237235
163,22,253059
164,22,265863
165,22,282136
166,22,297286
167,22,313495
168,22,328461
169,22,343675
170,22,358962
171,22,374243
172,22,390312
173,22,405943
174,22,421493
175,22,436984
176,22,452539
177,22,468048
178,22,483780
179,22,499576
180,22,516189
181,22,531197
182,22,547055
183,22,562546
184,22,578708
185,22,594445
186,22,609776
187,22,625226
188,22,640753
189,22,656139
190,22,672086
191,22,687210
192,22,702614
193,22,718038
194,22,733466
195,22,749031
196,22,764999
197,22,780948
198,22,796711
199,22,812686
200,22,828599
201,22,844118
202,22,860226
203,22,875508
204,22,891009
205,22,906187
206,22,921871
207,22,937346
208,22,952715
209,22,968743
210,22,983935
211,22,999157
212,23,14590
213,23,29659
214,23,45804
215,23,61708
216,23,77598
217,23,92904
218,23,108083
219,23,123456
220,23,139496
221,23,154843
222,23,170141
223,23,185474
224,23,201608
225,23,217540
226,23,233154
227,23,249233
228,23,265249
229,23,280737
230,23,296548
231,23,312427
232,23,327751
233,23,342904
234,23,358951
235,23,375199
236,23,391036
237,23,406348
238,23,421863
239,23,437919
240,23,453769
241,23,469706
242,23,484957
243,23,500482
244,23,515941
245,23,531574
246,23,547164
247,23,562771
248,23,578649
249,23,594149
250,23,609774
251,23,624990
252,23,640199
253,23,655471
254,23,671345
255,23,686598
256,23,701739
257,23,717626
258,23,733337
259,23,748609
260,23,763774
261,23,779073
262,23,795029
263,23,811032
264,23,826557
265,23,841617
266,23,857093
267,23,872466
268,23,887894
269,23,903209
270,23,918535
271,23,934197
272,23,949880
273,23,965081
274,23,980378
275,23,995761
276,24,11216
277,24,26875
278,24,42924
279,24,58370
280,24,73666
281,24,89220
282,24,104432
283,24,120490
284,24,135916
285,24,151600
286,24,167025
287,24,182478
288,24,198418
289,24,213906
290,24,229725
291,24,245682
292,24,261620
293,24,276984
294,24,292267
295,24,308213
296,24,324210
297,24,340249
298,24,355922
299,24,371393
300,24,386553
